from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2020-06-04T20:36:34-04:00,2020-06-04T21:16:36-04:00,,,America/New_York,Other,{},,2020-06-05T00:06:42-04:00
2020-06-06T14:51:00-04:00,2020-06-06T16:17:00-04:00,,,America/New_York,Walking,"{""calories"":227.89897155762,""effduration"":4980,""intensity"":0,""manual_distance"":-1,""manual_calories"":531.58374023438,""pause_duration"":0,""steps"":7557,""distance"":5762.09375,""metcumul"":326.53500366211}",,2020-06-06T16:54:09-04:00
2020-06-06T16:22:00-04:00,2020-06-06T16:52:00-04:00,,,America/New_York,Walking,"{""calories"":93.25,""effduration"":1800,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":3034,""distance"":2357.7958984375,""metcumul"":128.60198974609}",,2020-06-07T09:36:42-04:00
2020-06-09T17:54:07-04:00,2020-06-09T19:00:48-04:00,,,America/New_York,Yoga,"{""calories"":4.9049997329712,""effduration"":1440,""intensity"":50,""manual_distance"":0,""manual_calories"":842.09521484375,""hr_average"":95,""hr_min"":40,""hr_max"":143,""hr_zone_0"":1960,""hr_zone_1"":1365,""hr_zone_2"":26,""hr_zone_3"":0,""device_startdate"":1591739647,""device_enddate"":1591743648,""pause_duration"":397,""steps"":147,""distance"":125.27300262451,""metcumul"":28.355003356934}",,2020-06-09T21:59:22-04:00
2020-06-09T17:54:07-04:00,2020-06-09T19:00:48-04:00,,,America/New_York,Other,{},,2020-06-09T19:45:29-04:00
2020-06-10T18:00:23-04:00,2020-06-10T18:45:10-04:00,,,America/New_York,Yoga,"{""calories"":2.4360001087189,""effduration"":780,""intensity"":50,""manual_distance"":0,""manual_calories"":565.53607177734,""hr_average"":97,""hr_min"":44,""hr_max"":132,""hr_zone_0"":1199,""hr_zone_1"":1427,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1591826423,""device_enddate"":1591829110,""pause_duration"":3,""steps"":74,""distance"":62.345001220703,""metcumul"":15.088000297546}",,2020-06-11T16:20:10-04:00
2020-06-10T18:00:23-04:00,2020-06-10T18:45:10-04:00,,,America/New_York,Other,{},,2020-06-11T08:55:46-04:00
2020-06-12T18:43:00-04:00,2020-06-12T20:08:00-04:00,,,America/New_York,Walking,"{""calories"":226.69003295898,""effduration"":5100,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":7771,""distance"":5732.1103515625,""metcumul"":333.98001098633}",,2020-06-13T09:37:42-04:00
2020-06-13T13:36:00-04:00,2020-06-13T13:43:00-04:00,,,America/New_York,Walking,"{""calories"":9.6999988555908,""effduration"":360,""intensity"":0,""manual_distance"":-1,""manual_calories"":43.268447875977,""pause_duration"":0,""steps"":322,""distance"":245.43000793457,""metcumul"":16.309999465942}",,2020-06-14T10:17:02-04:00
2020-06-15T17:04:16-04:00,2020-06-15T17:51:12-04:00,,,America/New_York,Yoga,"{""calories"":1.9370000362396,""effduration"":900,""intensity"":50,""manual_distance"":0,""manual_calories"":592.68688964844,""hr_average"":101,""hr_min"":55,""hr_max"":122,""hr_zone_0"":742,""hr_zone_1"":1323,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1592255056,""device_enddate"":1592257872,""pause_duration"":2,""steps"":57,""distance"":49.625,""metcumul"":16.666000366211}",,2020-06-15T20:47:13-04:00
