date,value
2020-10-18,61.311
2020-10-17,53.492
2020-10-16,29.79
2020-10-15,146.211
2020-10-14,82.923
2020-10-13,164.171
2020-10-12,48.832
2020-10-11,63.597
2020-10-10,91.121
2020-10-09,157.208
2020-10-08,58.954
2020-10-07,65.934
2020-10-06,148.103
2020-10-05,84.164
2020-10-04,274.694
2020-10-03,171.134
2020-10-02,89.286
2020-10-01,134.611
2020-09-30,66.022
2020-09-29,53.095
2020-09-28,64.379
2020-09-27,121.221
2020-09-26,169.596
2020-09-25,72.802
2020-09-24,97.091
2020-09-23,146.561
2020-09-22,170.305
2020-09-21,128.766
2020-09-20,219.787
2020-09-19,161.52
2020-09-18,129.035
2020-09-17,79.886
2020-09-16,48.547
2020-09-15,54.458
2020-09-14,35.852
2020-09-13,108.666
2020-09-12,196.494
2020-09-11,170.78
2020-09-10,46.865
2020-09-09,180.778
2020-09-08,123.016
2020-09-07,130.112
2020-09-06,125.059
2020-09-05,135.947
2020-09-04,79.615
2020-09-03,83.306
2020-09-02,60.405
2020-09-01,243.648
2020-08-31,131.966
2020-08-30,96.135
2020-08-29,163.82
2020-08-28,232.967
2020-08-27,60.504
2020-08-26,46.471
2020-08-25,157.213
2020-08-24,70.421
2020-08-23,134.655
2020-08-22,145.068
2020-08-21,152.975
2020-08-20,65.275
2020-08-19,52.383
2020-08-18,218.744
2020-08-17,55.65
2020-08-16,95.398
2020-08-15,181.176
2020-08-14,141.056
2020-08-13,114.874
2020-08-12,50.473
2020-08-11,283.288
2020-08-10,104.279
2020-08-09,106.27
2020-08-08,142.228
2020-08-07,211.879
2020-08-06,53.72
2020-08-05,69.718
2020-08-04,74.271
2020-08-03,115.45
2020-08-02,103.268
2020-08-01,42.746
2020-07-31,72.091
2020-07-30,29.655
2020-07-29,34.565
2020-07-28,73.858
2020-07-27,85.141
2020-07-26,320.709
2020-07-25,86.87
2020-07-24,113.746
2020-07-23,53.487
2020-07-22,115.7
2020-07-21,92.525
2020-07-20,74.94
2020-07-19,78.535
2020-07-18,114.873
2020-07-17,84.022
2020-07-16,50.634
2020-07-15,49.132
2020-07-14,134.284
2020-07-13,37.397
2020-07-12,107.325
2020-07-11,80.871
2020-07-10,73.407
2020-07-09,73.657
2020-07-08,52.833
2020-07-07,78.333
2020-07-06,57.839
2020-07-05,572.958
2020-07-04,168.964
2020-07-03,220.778
2020-07-02,55.439
2020-07-01,108.006
2020-06-30,42.251
2020-06-29,77.51
2020-06-28,72.612
2020-06-27,128.398
2020-06-26,76.725
2020-06-25,44.129
2020-06-24,310.095
2020-06-23,72.133
2020-06-22,65.339
2020-06-21,101.231
2020-06-20,158.698
2020-06-19,80.023
2020-06-18,52.814
2020-06-17,118.39
2020-06-16,87.386
2020-06-15,61.135
2020-06-14,96.597
2020-06-13,129.221
2020-06-12,288.704
2020-06-11,73.264
2020-06-10,49.353
2020-06-09,48.909
2020-06-08,88.768
2020-06-07,92.716
2020-06-06,460.331
2020-06-05,130.465
2020-06-04,125.841
2020-06-03,193.752
2020-06-02,245.983
2020-06-01,115.894
2020-05-31,561.685
2020-05-30,174.534
2020-05-29,136.862
2020-05-28,206.033
2020-05-27,87.538
2020-05-26,67.7
2020-05-25,69.988
2020-05-24,502.375
2020-05-23,51.119
2020-05-22,226.621
2020-05-21,49.604
2020-05-20,46.495
2020-05-19,22.736
2020-05-18,33.871
2020-05-17,51.055
2020-05-16,55.738
2020-05-15,45.223
2020-05-14,25.186
2020-05-13,47.86
2020-05-12,15.85
2020-05-11,25.993
2020-05-10,444.914
2020-05-09,50.341
2020-05-08,17.959
2020-05-07,16.749
