from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events"
2020-11-04T00:33:00-05:00,2020-11-04T10:10:00-05:00,19080,13200,0,2340,2,120,120,0,0,41,32,92,
2020-11-04T23:30:00-05:00,2020-11-05T08:12:00-05:00,17640,10680,0,3000,4,120,180,0,0,38,33,91,
2020-11-06T00:10:00-05:00,2020-11-06T08:25:00-05:00,15300,12540,0,1860,4,120,0,0,0,44,33,84,
2020-11-08T02:20:00-05:00,2020-11-08T10:09:00-05:00,14340,10500,0,3300,4,120,300,0,0,50,36,99,
2020-11-09T00:08:00-05:00,2020-11-09T07:55:00-05:00,12900,12900,0,2220,5,120,420,0,0,37,32,91,
2020-11-09T23:11:00-05:00,2020-11-10T07:33:00-05:00,12060,16560,0,1500,2,660,60,0,0,38,33,63,
2020-11-10T23:19:00-05:00,2020-11-11T08:05:00-05:00,13260,16380,0,1920,2,120,300,0,0,39,33,115,
2020-11-11T23:57:00-05:00,2020-11-12T07:59:00-05:00,16080,10020,0,2820,4,0,0,0,0,37,33,95,
2020-11-12T23:48:00-05:00,2020-11-13T08:37:00-05:00,14040,15780,0,1920,3,120,0,0,0,37,32,87,
2020-11-13T22:33:00-05:00,2020-11-14T07:04:00-05:00,14460,15180,0,1020,0,180,840,0,0,39,33,47,
2020-11-17T23:19:00-05:00,2020-11-18T07:10:00-05:00,13740,13380,0,1140,1,120,480,0,0,41,32,86,
2020-11-18T22:53:00-05:00,2020-11-19T05:49:00-05:00,8880,15360,0,720,1,120,180,0,0,40,33,70,
2020-11-19T23:09:00-05:00,2020-11-20T07:25:00-05:00,14880,13680,0,1200,1,120,120,0,0,37,32,68,
2020-11-21T22:32:00-05:00,2020-11-22T09:14:00-05:00,21120,14940,0,2460,4,120,0,0,0,36,32,59,
2020-11-24T23:02:00-05:00,2020-11-25T07:58:00-05:00,19620,12240,0,300,1,120,0,0,0,43,32,76,
2020-11-26T23:13:00-05:00,2020-11-27T08:26:00-05:00,19980,11640,0,1560,2,180,0,0,0,37,33,70,
2020-11-27T23:39:00-05:00,2020-11-28T08:31:00-05:00,14940,15660,0,1320,2,120,120,0,0,41,33,75,
2020-11-28T23:43:00-05:00,2020-11-29T08:04:00-05:00,21360,6720,0,420,1,0,240,0,0,42,31,79,
2020-11-29T23:42:00-05:00,2020-11-30T08:30:00-05:00,15480,13260,0,1260,2,0,60,0,0,41,32,79,
2020-11-30T23:39:00-05:00,2020-12-01T08:06:00-05:00,13380,9000,0,180,1,0,0,0,0,38,32,92,
2020-12-01T23:13:00-05:00,2020-12-02T07:33:00-05:00,15180,6240,0,0,0,0,0,0,0,40,32,79,
2020-12-02T22:29:00-05:00,2020-12-03T05:54:00-05:00,9420,9960,0,600,1,0,0,0,0,39,32,74,
2020-12-03T23:31:00-05:00,2020-12-04T08:24:00-05:00,16800,15060,0,120,0,120,0,0,0,36,32,50,
2020-12-04T23:15:00-05:00,2020-12-05T09:00:00-05:00,23460,7560,0,4080,5,120,0,0,0,42,33,89,
2020-12-06T01:49:00-05:00,2020-12-06T09:38:00-05:00,12660,14880,0,600,1,120,60,0,0,44,33,97,
2020-12-10T01:38:00-05:00,2020-12-10T08:40:00-05:00,12000,11580,0,1740,3,120,0,0,0,39,33,84,
2020-12-11T00:05:00-05:00,2020-12-11T07:38:00-05:00,14820,11100,0,1260,2,120,360,0,0,41,33,60,
2020-12-11T23:28:00-05:00,2020-12-12T08:46:00-05:00,23580,8040,0,1860,2,300,0,0,0,47,35,92,
2020-12-13T01:01:00-05:00,2020-12-13T08:03:00-05:00,17220,7920,0,180,0,120,60,0,0,51,38,102,
2020-12-13T23:12:00-05:00,2020-12-14T07:27:00-05:00,18600,9600,0,1500,1,120,240,0,0,36,32,56,
2020-12-14T21:24:00-05:00,2020-12-15T04:29:00-05:00,13260,10680,0,1560,3,120,0,0,0,42,33,80,
2020-12-16T21:25:00-05:00,2020-12-17T08:06:00-05:00,22681,14399,0,1380,2,120,60,0,0,39,32,80,
2020-12-17T23:11:00-05:00,2020-12-18T06:21:00-05:00,13440,10080,0,2280,3,120,60,0,0,41,32,80,
2020-12-19T00:42:00-05:00,2020-12-19T07:59:00-05:00,12780,12120,0,1320,1,120,180,0,0,47,33,93,
2020-12-20T00:39:00-05:00,2020-12-20T09:44:00-05:00,15540,15060,0,2100,1,180,1020,0,0,37,32,71,
